iter,time,reward,steps,convergence,policy
1,6.490026000001592,-49999.0,50000.0,69.7,False
2,9.329044000004671,-49999.0,50000.0,32.30134200525932,False
3,11.727843999999266,-50048.0,50000.0,25.406491150724285,False
4,14.535426999998435,-49999.0,50000.0,24.208741663407057,False
5,19.825658000002022,-49999.0,50000.0,20.372162667081508,False
6,24.066926999999794,-49999.0,50000.0,17.522591845688293,False
7,29.216546999997206,-49999.0,50000.0,16.72537212877575,False
8,28.128674999997827,-49999.0,50000.0,15.087963426547313,False
9,31.689794999998355,-49999.0,50000.0,14.679638372847428,False
10,35.586613999996075,-49999.0,50000.0,13.160571604636567,False
11,37.65288099999964,-50048.0,50000.0,12.418341336872977,False
12,41.36175300000389,-50048.0,50000.0,11.674993942179148,False
13,46.71802000000014,-49999.0,50000.0,10.82936764292785,False
14,49.83497199999931,-12675.0,12777.0,9.912518873658513,False
15,51.68745799999641,-31213.0,31315.0,9.675578240398798,False
16,57.11381100000068,-45185.0,45287.0,9.184871509616812,False
17,63.05556599999562,-49999.0,50000.0,8.694172080741481,False
18,62.06753500000417,-49999.0,50000.0,8.388762575437084,True
19,72.45747399999658,-49999.0,50000.0,8.06401526035435,False
20,74.35169100000394,-49999.0,50000.0,7.730972726061064,False
21,78.24414899999965,-49999.0,50000.0,7.065420066385224,False
22,81.47770400000098,-12063.0,12165.0,6.205792964917815,False
23,86.32760599999756,-39455.0,39557.0,5.216197886122684,False
24,82.72419099999695,-49999.0,50000.0,4.578633431883403,True
25,90.07019300000252,-50097.0,50000.0,4.503323885411981,False
26,92.4592639999986,-23848.0,23901.0,4.36829895635845,False
27,94.24040999999761,-15357.0,15361.0,4.207339823623208,False
28,97.70737499999882,-22367.0,22469.0,4.104879833507227,False
29,103.99296999999308,38.0,64.0,3.9847319923962985,False
30,107.63256099999552,17.0,85.0,3.851247249483518,False
31,112.90001400000449,43.0,59.0,3.649588131248919,False
32,113.23703100000415,-44.0,48.0,3.575123212821084,False
33,125.30828100000235,35.0,67.0,3.4307818682633506,False
34,130.57012600000206,31.0,71.0,3.3351097596474206,False
35,124.12051500000132,35.0,67.0,3.247855451288604,False
36,132.99649800000424,43.0,59.0,3.152571937776541,False
37,134.26050300000014,43.0,59.0,3.0051087341691485,True
38,132.5143559999944,37.0,65.0,2.9097751190248005,False
39,133.8747280000021,38.0,64.0,2.861998787986856,False
40,148.80439600000273,42.0,60.0,2.7956909035323996,False
41,157.89888299999433,-5.0,58.0,2.7091936755670343,False
42,162.4456740000042,31.0,71.0,2.553451119730667,True
43,140.8182540000027,52.0,50.0,2.4517202706305348,False
44,160.08346899999992,23.0,79.0,2.4005662723867296,False
45,149.26465099999575,28.0,74.0,2.346718982150527,True
46,149.44478500000002,29.0,73.0,2.2490329382764145,True
47,155.33516200000008,24.0,78.0,2.1015930713544293,True
48,159.99754999999993,41.0,61.0,1.9814744959482873,True
49,164.05576500000052,32.0,70.0,1.9350625838123783,False
50,171.88029799999782,44.0,58.0,1.8938626660874114,True
51,177.1528590000031,55.0,47.0,1.8586957829786854,False
52,185.06787199999764,28.0,74.0,1.7851897942313997,True
53,187.2017859999957,37.0,65.0,1.6866184962419624,True
54,194.0005319999969,-9.0,111.0,1.5858128750103972,True
55,201.2591410000013,41.0,61.0,1.4729308723686643,True
56,199.0885309999939,38.0,64.0,1.3557906655453422,True
57,199.22978700000016,31.0,71.0,1.2304964261430413,True
58,210.97394000000236,41.0,61.0,1.0979092697317583,False
59,201.15222899999452,35.0,67.0,0.965176095185079,True
60,207.05752599999983,22.0,80.0,0.8373689929675301,True
61,200.13587100000052,39.0,63.0,0.7178469889311572,True
62,235.40885199999906,24.0,78.0,0.6086054093422995,True
63,228.708546,50.0,52.0,0.5106236317230071,True
64,218.3290330000034,28.0,74.0,0.424145583013825,False
65,228.47679200000215,34.0,68.0,0.3548755143416109,True
66,217.03743600000536,32.0,70.0,0.3128562786328999,True
67,225.32882100000506,-29.0,82.0,0.2889065099227359,True
68,231.8954740000052,41.0,61.0,0.2526078034864483,True
69,240.19226099999713,23.0,79.0,0.21674444680693128,True
70,248.1740430000059,19.0,83.0,0.18356320836940654,True
71,257.0032679999983,38.0,64.0,0.15338030651216528,True
72,269.2374359999974,42.0,60.0,0.12634847168257934,True
73,254.9196459999976,52.0,50.0,0.10261751564888044,True
74,256.7013029999998,43.0,59.0,0.08223652917417823,True
75,254.4076579999981,39.0,63.0,0.06510270414929309,True
76,257.927623999997,42.0,60.0,0.0509763703080921,True
77,249.31947500000007,44.0,58.0,0.03952744696413646,True
78,257.90584199999955,36.0,66.0,0.030385155612076886,True
79,260.4428710000022,36.0,66.0,0.02317757385851138,True
80,273.223809000001,31.0,71.0,0.017557715133229124,True
81,305.9421960000037,50.0,52.0,0.013217698478335649,True
82,314.7226369999956,23.0,79.0,0.009894142469871525,True
83,320.7310370000016,39.0,63.0,0.007367869647158187,True
84,319.5562079999945,9.0,93.0,0.005460366461647936,True
85,295.87453799999963,32.0,70.0,0.004028713493909208,True
86,297.786146,20.0,82.0,0.002960081972670281,True
87,299.94032500000145,29.0,73.0,0.002166434843669407,True
88,287.8349300000025,20.0,82.0,0.0015797599987230626,True
89,327.80443199999354,33.0,69.0,0.0011479666981593084,True
90,313.59892199999706,48.0,54.0,0.0008314603055943337,True
91,293.5607659999917,19.0,83.0,0.000600348057890443,True
92,318.431204999996,19.0,83.0,0.0004321998509482228,True
93,307.31292800000176,31.0,71.0,0.00031027931656169017,True
94,374.9245099999996,32.0,70.0,0.00022216290049570375,True
95,339.873979999993,48.0,54.0,0.0001586726498281621,True
96,352.2397259999934,17.0,85.0,0.00011305862929233967,True
97,341.985459,50.0,52.0,8.037740312616393e-05,True
98,350.7901530000055,47.0,55.0,5.7022831342123936e-05,True
99,331.296547000008,21.0,81.0,4.0374078874805264e-05,True
100,318.9914889999983,37.0,65.0,2.853307859851384e-05,True
